Numbers,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
8.3,Task 3. Identify relevant commercial databases and analytics software to facilitate monitoring. ,,,,,,,,,,,,,,,,,,
8.4,Task 4. Discuss and mutually agree on the most appropriate monitoring tools for use in the partner country. ,,,,,,,,,,,,,,,,,,
8.5,Task 5. Provide training for key staff focusing on local capacity,,,,,,,,,,,,,,,,,,
8.6,Task 6. Provide follow up training as required,,,,,,,,,,,,,,,,,,
8.7,Task 7. Build a network of staff engaged in monitoring from participating countries. ,,,,,,,,,,,,,,,,,,
8.8,Task 8. Develop an open access manual on ABS monitoring for use by staff and in training future trainers.  ,,,,,,,,,,,,,,,,,,
9,Element 9: Reporting ,,,,,,,,,,,,,,,,,,
9.1,"Task 1. Identify national and international reporting requirements under the Nagoya Protocol and, as appropriate, related international environmental agreements. ",,,,,,,,,,,,,,,,,,
9.2,Task 2. Identify components of permit and related datasets that can contribute to reporting requirements. ,,,,,,,,,,,,,,,,,,
9.3,Task 3. Establish programmatic solutions to automate data generation to meet reporting requirements in the formats required. ,,,,,,,,,,,,,,,,,,
10,Element 10: Data Archive,,,,,,,,,,,,,,,,,,
10.1,Task 1. Establish Data archive in core system including permit data in text and table form and stored as .pdf.,,,,,,,,,,,,,,,,,,
10.2,Task 2. Establish secure back up infrastructure and routines,,,,,,,,,,,,,,,,,,
10.3,Task 3. Establish secure Cloud back up (see Task 2),,,,,,,,,,,,,,,,,,
10.4,Task 4. Harmonise with physical archives,,,,,,,,,,,,,,,,,,
